ISIN,Name,Sector,Country
CA00652V1022,Addax Petroleum Corp,50102020,CA
CA0084741085,Agnico Eagle Mines Ltd,51201060,CA
CA0089118776,Air Canada,52406010,CA
CA0089161081,Agrium Inc (Pre-Merger 1),51101020,CA
CA00900Q1037,Aimia Inc,52203040,CA
CA0137161059,Alcan Inc,51201030,CA
CA01566M2040,Old Steelco Inc,51201020,CA
CA0158571053,Algonquin Power & Utilities Corp,59104010,CA
CA01626P4033,Alimentation Couche-Tard Inc,54301020,CA
CA0213611001,AltaGas Ltd,59104010,CA
CA0463462014,Astral Media Inc,53302020,CA
CA0467894006,Atco Ltd,59104010,CA
CA04682R1073,Athabasca Oil Corp,50102020,CA
CA05156X1087,nan,,
CA05534B7604,BCE Inc,58401010,CA
CA0636711016,Bank of Montreal,55101010,CA
CA0641491075,Bank of Nova Scotia,55101010,CA
CA0679011084,Barrick Gold Corp,51201060,CA
CA0717341071,Bausch Health Companies Inc,56201040,CA
CA07317Q1054,Baytex Energy Corp,50102020,CA
CA07786R2046,Bell Aliant Inc,58401010,CA
CA08135F1071,Bema Gold Corp,51201010,CA
